Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601001652,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601001913,1F1D$
+RESP:GTPDP,500700,868574042918081,,20260601004916,1F1E$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601011651,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601011922,1F1F$
+RESP:GTPDP,500700,868574042918081,,20260601014926,1F20$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601021705,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601021932,1F21$
+RESP:GTPDP,500700,868574042918081,,20260601030458,1F22$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTPDP,500700,868574042918081,,20260601033538,1F23$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTPDP,500700,868574042918081,,20260601040557,1F24$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601041723,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601041951,1F25$
+RESP:GTPDP,500700,868574042918081,,20260601044954,1F26$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601051728,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601052001,1F27$
+RESP:GTPDP,500700,868574042918081,,20260601055004,1F28$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601061742,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601062011,1F29$
+RESP:GTPDP,500700,868574042918081,,20260601065013,1F2A$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601071747,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601072020,1F2B$
+RESP:GTPDP,500700,868574042918081,,20260601075023,1F2C$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601081803,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601082030,1F2D$
+RESP:GTPDP,500700,868574042918081,,20260601085033,1F2E$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601091807,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601092040,1F2F$
+RESP:GTPDP,500700,868574042918081,,20260601095042,1F30$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601101823,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601102049,1F31$
+RESP:GTPDP,500700,868574042918081,,20260601105052,1F32$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0,236,2688.9,-73.684176,5.143603,20260601111827,732,101,13B0,67C81D2,4,12,63271.8,4259:22:44,,,100,110000,,,,20260601112059,1F33$
+RESP:GTIGN,500700,868574042918081,,137765,0,0,236,2688.9,-73.684176,5.143603,20260601111827,732,101,13B0,67C81D2,6,220100,12,4259:22:44,63271.8,20260601113058,1F34$,,,,,,,,
+RESP:GTSTT,500700,868574042918081,,22,0,0,236,2688.9,-73.684176,5.143603,20260601111827,732,101,13B0,67C81D2,6,220100,12,20260601113058,1F35$,,,,,,,,,,
+RESP:GTIGL,500700,868574042918081,,,1,1,1,0.6,236,2688.6,-73.68407,5.14353,20260601113105,732,101,13B0,67C81D3,4,12,63271.8,20260601113106,1F36$,,,,,,,,
+RESP:GTFRI,500700,868574042918081,,,10,1,1,0.6,236,2688.6,-73.68407,5.14353,20260601113105,732,101,13B0,67C81D3,4,12,63271.8,4259:22:49,,,100,220100,,,,20260601113106,1F37$
+RESP:GTIGF,500700,868574042918081,,18,0,0,236,2687.9,-73.684077,5.143528,20260601113114,732,101,13B0,67C81D3,6,120000,12,4259:23:02,63271.8,20260601113116,1F38$,,,,,,,,
+RESP:GTSTT,500700,868574042918081,,12,0,0,236,2687.9,-73.684077,5.143528,20260601113114,732,101,13B0,67C81D3,6,120000,12,20260601113116,1F39$,,,,,,,,,,
