,Unit,Serial Number,Phone,Last contact on,text,status,date,Unit Type,Carrier,Sim #
0,KUK350,4764413892,9103979500,2026-06-16 10:18:06.883,"!R3,1,7",Delivered,13/06/2026 11:42:17,CalAmp 2630 - 3G - LMU2631H-H000-G1000,Claro CO,89571016023121576928
1,KUK350,4764413892,9103979500,2026-06-16 10:18:06.883,"!R3,1,7",Delivered,13/06/2026 11:42:23,CalAmp 2630 - 3G - LMU2631H-H000-G1000,Claro CO,89571016023121576928
2,KUK529,4764428702,9101073765,2026-06-16 11:35:32.700,"!R3,1,7",Undeliverable,13/06/2026 13:12:11,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383371
3,KUK529,4764428702,9101073765,2026-06-16 11:35:32.700,"!R3,1,7",Undeliverable,13/06/2026 13:12:10,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383371
4,KUK529,4764428702,9101073765,2026-06-16 11:35:32.700,"!R3,1,7",Undeliverable,13/06/2026 13:02:50,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383371
5,KUK529,4764428702,9101073765,2026-06-16 11:35:32.700,"!R3,1,7",Undeliverable,13/06/2026 13:02:49,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383371
6,KUK529,4764428702,9101073765,2026-06-16 11:35:32.700,"!R3,1,7",Undeliverable,13/06/2026 13:00:48,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383371
7,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,16/06/2026 03:24:17,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
8,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,16/06/2026 03:24:17,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
9,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Rejected,15/06/2026 03:02:34,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
10,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Rejected,15/06/2026 03:02:33,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
11,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,15/06/2026 03:02:13,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
12,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,15/06/2026 03:02:12,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
13,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,15/06/2026 03:02:12,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
14,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,15/06/2026 03:02:11,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
15,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,15/06/2026 03:01:51,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
16,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,15/06/2026 03:01:50,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
17,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Rejected,14/06/2026 23:48:40,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
18,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Rejected,14/06/2026 23:48:39,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
19,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 23:48:39,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
20,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 23:48:18,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
21,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 23:48:17,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
22,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 23:48:17,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
23,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 23:47:56,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
24,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 23:47:56,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
25,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 17:09:04,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
26,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 17:09:04,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
27,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 17:08:43,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
28,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 16:42:01,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
29,SPK366,4764428701,9101373570,2026-06-16 11:26:28.253,"!R3,1,7",Undeliverable,14/06/2026 16:42:00,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,8957123112215383447
30,SPK370,S2-M007693-W259,9103424899,2026-06-16 11:21:25.630,"AT+GTOUT=gv55w,0,0,0,1,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,14/06/2026 11:13:06,Queclink GV55W,Claro CO,57101602303750923
31,SPK370,S2-M007693-W259,9103424899,2026-06-16 11:21:25.630,"AT+GTOUT=gv55w,0,0,0,1,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,14/06/2026 11:13:03,Queclink GV55W,Claro CO,57101602303750923
32,SPK370,S2-M007693-W259,9103424899,2026-06-16 11:21:25.630,"AT+GTOUT=gv55w,0,0,0,1,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,14/06/2026 11:13:06,Queclink GV55W,Claro CO,57101602303750923
33,SPK370,S2-M007693-W259,9103424899,2026-06-16 11:21:25.630,"AT+GTOUT=gv55w,1,0,0,0,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,14/06/2026 11:07:45,Queclink GV55W,Claro CO,57101602303750923
34,SPK370,S2-M007693-W259,9103424899,2026-06-16 11:21:25.630,"AT+GTOUT=gv55w,1,0,0,0,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,14/06/2026 11:07:40,Queclink GV55W,Claro CO,57101602303750923
35,SPK370,S2-M007693-W259,9103424899,2026-06-16 11:21:25.630,"AT+GTOUT=gv55w,1,0,0,0,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,14/06/2026 11:07:41,Queclink GV55W,Claro CO,57101602303750923
36,SPK372,4764385630,9101387060,2026-06-16 11:33:30.317,"!R3,1,7",Undeliverable,14/06/2026 07:40:51,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,8957123112215382969
37,SPK372,4764385630,9101387060,2026-06-16 11:33:30.317,"!R3,1,7",Undeliverable,14/06/2026 07:40:51,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,8957123112215382969
38,SPK372,4764385630,9101387060,2026-06-16 11:33:30.317,"!R3,1,7",Undeliverable,14/06/2026 07:05:08,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,8957123112215382969
39,SPK372,4764385630,9101387060,2026-06-16 11:33:30.317,"!R3,1,7",Undeliverable,14/06/2026 07:05:08,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,8957123112215382969
40,SPK372,4764385630,9101387060,2026-06-16 11:33:30.317,"!R3,1,7",Undeliverable,14/06/2026 02:42:06,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,8957123112215382969
41,SPK372,4764385630,9101387060,2026-06-16 11:33:30.317,"!R3,1,7",Undeliverable,14/06/2026 02:42:05,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,8957123112215382969
42,TJV063,S2-M007693-594Y,9104044100,2026-06-16 11:36:20.990,"AT+GTRTO=gv55w,1,,1,,,,FFFF$",Delivered,14/06/2026 08:00:30,Queclink GV55W,MOVISTAR CO,57101602312162251
43,TJW559,PioneerX100-1GI8,9103269511,2026-06-16 11:28:11.547,"UPGRADE_TEST,0000##",Delivered,13/06/2026 11:30:58,Topfly PioneerX,Claro CO,8957101702502326160
44,TJW560,Pioneerx100-1EMD,9103416202,2026-06-16 11:34:10.670,"UPGRADE_TEST,0000##",Delivered,14/06/2026 09:08:05,Topfly PioneerX,Claro CO,8957101702509060744
45,TJW560,Pioneerx100-1EMD,9103416202,2026-06-16 11:34:10.670,"UPGRADE_TEST,0000##",Delivered,14/06/2026 09:07:42,Topfly PioneerX,Claro CO,8957101702509060744
46,TJW773,1363112679,9101139912,2026-06-16 11:35:40.597,"!R3,1,7",Undeliverable,15/06/2026 20:39:53,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,8957123112009139716
47,TJW773,1363112679,9101139912,2026-06-16 11:35:40.597,"!R3,1,7",Undeliverable,15/06/2026 20:39:52,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,8957123112009139716
48,TJW773,1363112679,9101139912,2026-06-16 11:35:40.597,"!R3,1,7",Undeliverable,15/06/2026 19:47:30,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,8957123112009139716
49,TJW773,1363112679,9101139912,2026-06-16 11:35:40.597,"!R3,1,7",Undeliverable,15/06/2026 19:47:29,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,8957123112009139716
50,TJW773,1363112679,9101139912,2026-06-16 11:35:40.597,"!R3,9,0",Undeliverable,14/06/2026 11:54:38,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,8957123112009139716
