Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTPNA,500700,868574042891957,,20260601105818,622$,,,,,,,,,,,,,,,,,,,,,,,,,
+RESP:GTMPN,500700,868574042891957,,0,0,265,1491.4,-75.569706,6.341801,20260530220443,732,101,272E,7DB4EBD,6,110000,0,20260601105820,623$,,,,,,,,,,,
+RESP:GTRTL,500700,868574042891957,,,0,1,1,0.2,265,1642.2,-75.570128,6.341945,20260601105900,732,101,272E,7DB4EBD,4,10,1799.7,20260601105900,624$,,,,,,,,
+RESP:GTFRI,500700,868574042891957,,,10,1,1,0.2,265,1642.2,-75.570128,6.341945,20260601105900,732,101,272E,7DB4EBD,4,10,1799.7,76:22:50,,,0,1A0000,,,,20260601105901,625$
+RESP:GTSTT,500700,868574042891957,,16,0,0.2,265,1642.2,-75.570128,6.341945,20260601105900,732,101,272E,7DB4EBD,6,160000,10,20260601110124,626$,,,,,,,,,,
+RESP:GTTOW,500700,868574042891957,,,0,1,1,0,265,1642.2,-75.570128,6.341945,20260601110145,732,101,272E,7DB4EBD,4,11,1799.7,20260601110146,627$,,,,,,,,
+RESP:GTSTT,500700,868574042891957,,11,0,0,265,1642.2,-75.570128,6.341945,20260601110145,732,101,272E,7DB4EBF,6,110000,11,20260601111318,628$,,,,,,,,,,
+RESP:GTFRI,500700,868574042891957,,,10,1,1,0,265,1611.5,-75.577524,6.338258,20260601111337,732,101,272E,7DB4EBF,4,11,1799.7,76:22:50,,,0,110000,,,,20260601111338,629$
+RESP:GTSTT,500700,868574042891957,,16,0,0,265,1611.5,-75.577524,6.338258,20260601111337,732,101,272E,7DB4EBF,6,160000,11,20260601112326,062A$,,,,,,,,,,
+RESP:GTTOW,500700,868574042891957,,,0,1,1,1.1,265,1611.5,-75.577524,6.338258,20260601112354,732,101,272E,7DB4EBF,4,11,1799.7,20260601112354,062B$,,,,,,,,
+RESP:GTSTT,500700,868574042891957,,11,0,1.1,265,1611.5,-75.577524,6.338258,20260601112354,732,101,272E,7DB4EBF,6,110000,11,20260601112611,062C$,,,,,,,,,,
+RESP:GTFRI,500700,868574042891957,,,10,1,1,0,265,1611.5,-75.577524,6.338258,20260601112630,732,101,272E,7DB4EBF,4,12,1799.7,76:22:50,,,0,110000,,,,20260601112630,062D$
