UnitID;SerialNumber;IMEI;SimNo;Carrier;AreaCode;PhoneNumber;StaticIP;ModemName;Paired
1AE6;869487060177952;869487060177952;895110113909780400;CLARO-PE;51;993870767;;3G;False
1AEM;869487060185864;869487060185864;895110113909780401;CLARO-PE;51;993866439;;3G;False
1AF2;869487060174561;869487060174561;895110113909780402;CLARO-PE;51;993864640;;3G;False
1AFI;869487060225579;869487060225579;895110113909780403;CLARO-PE;51;993886699;;3G;False
1AFY;869487060174991;869487060174991;895110113909780404;CLARO-PE;51;993885805;;3G;False
1AGE;869487060186466;869487060186466;895110113909780405;CLARO-PE;51;993885881;;3G;False
1AGU;869487060157657;869487060157657;895110113909780406;CLARO-PE;51;993885062;;3G;False
1HH6;869487060223004;869487060223004;895110113909780407;CLARO-PE;51;993880523;;3G;False
1HHM;869487060220976;869487060220976;895110113909780408;CLARO-PE;51;993882326;;3G;False
1HHX;869487060175410;869487060175410;895110113909780409;CLARO-PE;51;993883216;;3G;False
1HID;869487060179750;869487060179750;895110113909780456;CLARO-PE;51;976331931;;3G;False
1HIT;869487060176897;869487060176897;895110113909780455;CLARO-PE;51;943565436;;3G;False
1HJ9;869487060169736;869487060169736;895110113909780454;CLARO-PE;51;976331923;;3G;False
1HYM;869487060184099;869487060184099;895110113909780453;CLARO-PE;51;964310646;;3G;False
1HZ2;869487060179370;869487060179370;895110113909780452;CLARO-PE;51;969756315;;3G;False
1HZI;869487060227120;869487060227120;895110113909780451;CLARO-PE;51;993882305;;3G;False
1HZY;869487060176566;869487060176566;895110113909780450;CLARO-PE;51;993882284;;3G;False
1I0I;869487060187035;869487060187035;895110113909780449;CLARO-PE;51;993884691;;3G;False
1I0Y;869487060169728;869487060169728;895110113909780448;CLARO-PE;51;993882123;;3G;False
1AED;869487060178000;869487060178000;895110113909780447;CLARO-PE;51;993884670;;3G;False
1AET;869487060226312;869487060226312;895110113909780446;CLARO-PE;51;993886291;;3G;False
1AF9;869487060186094;869487060186094;895110113909780445;CLARO-PE;51;993887128;;3G;False
1AFP;869487060226080;869487060226080;895110113909780444;CLARO-PE;51;993882778;;3G;False
1AG5;869487060227732;869487060227732;895110113909780443;CLARO-PE;51;993885398;;3G;False
1AGL;869487060224382;869487060224382;895110113909780442;CLARO-PE;51;993886196;;3G;False
1HGX;869487060219960;869487060219960;895110113909780441;CLARO-PE;51;993886114;;3G;False
1HHD;869487060177028;869487060177028;895110113909780440;CLARO-PE;51;993885231;;3G;False
1HI4;869487060227526;869487060227526;895110113909780439;CLARO-PE;51;993880274;;3G;False
