,Server Time,Unit Time,Latitude,Longitude,Sequence #,Event Name
0,2026/03/10 20:56:08,2026/03/10 20:56:07,-12.117501258850098,-77.00640869140625,90,Motion Stop
1,2026/03/10 20:55:45,2026/03/10 20:55:45,-12.117501258850098,-77.00640869140625,907,Motion
2,2026/03/10 20:55:15,2026/03/10 20:55:15,-12.117501258850098,-77.00640869140625,906,Motion
3,2026/03/10 16:02:18,2026/03/10 16:02:17,-12.117501258850098,-77.00640869140625,87,Motion Stop
4,2026/03/10 16:02:13,2026/03/10 16:02:11,-12.117501258850098,-77.00640869140625,902,Motion
5,2026/03/10 16:01:43,2026/03/10 16:01:41,-12.117280960083008,-77.00606536865234,901,Motion
6,2026/03/10 16:01:12,2026/03/10 16:01:10,-12.117280960083008,-77.00606536865234,900,Motion
7,2026/03/10 16:00:43,2026/03/10 16:00:40,-12.117280960083008,-77.00606536865234,899,Motion
8,2026/03/10 16:00:13,2026/03/10 16:00:11,-12.117280960083008,-77.00606536865234,898,Motion
9,2026/03/10 15:59:42,2026/03/10 15:59:40,-12.117280960083008,-77.00606536865234,897,Motion
10,2026/03/10 15:59:11,2026/03/10 15:59:09,-12.117280960083008,-77.00606536865234,896,Motion
11,2026/03/10 15:58:40,2026/03/10 15:58:38,-12.117280960083008,-77.00606536865234,895,Motion
12,2026/03/10 15:58:10,2026/03/10 15:58:08,-12.117280960083008,-77.00606536865234,894,Motion
13,2026/03/10 15:57:39,2026/03/10 15:57:36,-12.117215156555176,-77.00611114501953,893,Motion
14,2026/03/10 15:57:08,2026/03/10 15:57:06,-12.11634922027588,-77.00663757324219,892,Motion
15,2026/03/10 15:56:40,2026/03/10 15:56:35,-12.11784839630127,-77.00548553466797,891,Motion
16,2026/03/10 15:56:06,2026/03/10 15:56:04,-12.11920928955078,-77.0046157836914,890,Motion
17,2026/03/10 15:55:35,2026/03/10 15:55:33,-12.11890697479248,-77.00492095947266,889,Motion
18,2026/03/10 15:55:04,2026/03/10 15:55:02,-12.117329597473145,-77.00603485107422,888,Motion
19,2026/03/10 15:54:34,2026/03/10 15:54:32,-12.117382049560549,-77.00599670410156,887,Motion
20,2026/03/10 15:54:03,2026/03/10 15:54:01,-12.117382049560549,-77.00599670410156,886,Motion
21,2026/03/10 15:53:32,2026/03/10 15:53:30,-12.117382049560549,-77.00599670410156,885,Motion
23,2026/03/10 15:52:43,2026/03/10 15:52:41,-12.117382049560549,-77.00599670410156,884,Motion
24,2026/03/10 15:52:12,2026/03/10 15:52:10,-12.117382049560549,-77.00599670410156,883,Motion
25,2026/03/10 15:51:43,2026/03/10 15:51:40,-12.117382049560549,-77.00599670410156,882,Motion
26,2026/03/10 15:51:23,2026/03/10 15:51:11,-12.117382049560549,-77.00599670410156,881,Motion
27,2026/03/10 15:51:23,2026/03/10 15:50:41,-12.117382049560549,-77.00599670410156,880,Motion
28,2026/03/10 15:50:13,2026/03/10 15:50:11,-12.117382049560549,-77.00599670410156,879,Motion
29,2026/03/10 15:49:43,2026/03/10 15:49:41,-12.117382049560549,-77.00599670410156,878,Motion
30,2026/03/10 15:49:13,2026/03/10 15:49:11,-12.117382049560549,-77.00599670410156,877,Motion
31,2026/03/10 15:48:42,2026/03/10 15:48:40,-12.117382049560549,-77.00599670410156,876,Motion
32,2026/03/10 15:48:13,2026/03/10 15:48:10,-12.117382049560549,-77.00599670410156,875,Motion
33,2026/03/10 15:47:43,2026/03/10 15:47:41,-12.117382049560549,-77.00599670410156,874,Motion
