,Server Time,Unit Time,Latitude,Longitude,Sequence #,Event Name
0,2026/03/10 10:52:02,2026/03/10 10:52:01,3.4650444984436035,-76.5260009765625,317,Motion Stop
1,2026/03/10 10:51:24,2026/03/10 10:51:23,3.4650444984436035,-76.5260009765625,2814,Motion
2,2026/03/10 10:49:23,2026/03/10 10:49:22,3.4650444984436035,-76.5260009765625,2812,Motion
4,2026/03/10 10:47:24,2026/03/10 10:47:23,3.464341878890991,-76.52594757080078,2811,Motion
9,2026/03/10 10:42:24,2026/03/10 10:42:23,3.4632599353790283,-76.5269546508789,2810,Motion
12,2026/03/10 10:39:35,2026/03/10 10:39:34,3.464864492416382,-76.52631378173828,2809,Motion
16,2026/03/09 14:31:12,2026/03/09 14:31:11,3.4652998447418213,-76.52534484863281,307,Motion Stop
17,2026/03/09 14:30:44,2026/03/09 14:30:43,3.4652998447418213,-76.52534484863281,2803,Motion
18,2026/03/09 14:29:44,2026/03/09 14:29:44,3.4652998447418213,-76.52534484863281,2802,Motion
19,2026/03/09 12:48:41,2026/03/09 12:48:40,3.4652998447418213,-76.52534484863281,303,Motion Stop
20,2026/03/09 12:47:55,2026/03/09 12:47:55,3.4652998447418213,-76.52534484863281,2795,Motion
21,2026/03/09 09:21:58,2026/03/09 09:21:58,3.4652998447418213,-76.52534484863281,295,Motion Stop
22,2026/03/09 09:21:29,2026/03/09 09:21:28,3.4652998447418213,-76.52534484863281,2779,Motion
23,2026/03/09 09:20:29,2026/03/09 09:20:28,3.4652998447418213,-76.52534484863281,2778,Motion
24,2026/03/09 08:52:09,2026/03/09 08:52:09,3.4652998447418213,-76.52534484863281,289,Motion Stop
25,2026/03/09 08:52:04,2026/03/09 08:52:02,3.4652998447418213,-76.52534484863281,2774,Motion
26,2026/03/09 08:51:05,2026/03/09 08:51:04,3.4652998447418213,-76.52534484863281,2773,Motion
27,2026/03/09 08:50:03,2026/03/09 08:50:02,3.4652998447418213,-76.52534484863281,2772,Motion
28,2026/03/09 08:49:04,2026/03/09 08:49:03,3.4652998447418213,-76.52534484863281,2771,Motion
29,2026/03/09 08:48:05,2026/03/09 08:48:04,3.4652998447418213,-76.52534484863281,2770,Motion
30,2026/03/09 08:47:03,2026/03/09 08:47:02,3.4652998447418213,-76.52534484863281,2769,Motion
31,2026/03/09 08:46:04,2026/03/09 08:46:02,3.4652998447418213,-76.52534484863281,2768,Motion
32,2026/03/09 08:45:05,2026/03/09 08:45:04,3.4652998447418213,-76.52534484863281,2767,Motion
33,2026/03/09 08:44:03,2026/03/09 08:44:02,3.4652998447418213,-76.52534484863281,2766,Motion
34,2026/03/09 08:43:04,2026/03/09 08:43:03,3.4652998447418213,-76.52534484863281,2765,Motion
35,2026/03/09 08:42:05,2026/03/09 08:42:04,3.4652998447418213,-76.52534484863281,2764,Motion
36,2026/03/09 08:30:14,2026/03/09 08:30:11,3.4652998447418213,-76.52534484863281,287,Motion Stop
37,2026/03/09 08:29:50,2026/03/09 08:29:47,3.4652998447418213,-76.52534484863281,2763,Motion
38,2026/03/09 08:28:50,2026/03/09 08:28:47,3.4652998447418213,-76.52534484863281,2762,Motion
39,2026/03/09 08:27:48,2026/03/09 08:27:45,3.465235471725464,-76.52558135986328,2761,Motion
40,2026/03/09 08:24:50,2026/03/09 08:24:47,3.465167760848999,-76.52611541748047,2758,Motion
41,2026/03/09 08:23:50,2026/03/09 08:23:47,3.465064764022827,-76.52613830566406,2757,Motion
42,2026/03/09 08:22:50,2026/03/09 08:22:47,3.4641823768615723,-76.52494049072266,2756,Motion
43,2026/03/09 08:21:50,2026/03/09 08:21:47,3.469487190246582,-76.52265930175781,2755,Motion
44,2026/03/09 08:20:50,2026/03/09 08:20:47,3.471139907836914,-76.5208740234375,2754,Motion
45,2026/03/09 08:19:50,2026/03/09 08:19:47,3.471139907836914,-76.5208740234375,2753,Motion
46,2026/03/09 08:18:50,2026/03/09 08:18:47,3.471689462661743,-76.51969146728516,2752,Motion
47,2026/03/09 08:17:50,2026/03/09 08:17:47,3.4716296195983887,-76.51671600341797,2751,Motion
48,2026/03/09 08:16:50,2026/03/09 08:16:47,3.474984645843506,-76.51422119140625,2750,Motion
49,2026/03/09 08:15:50,2026/03/09 08:15:47,3.474153995513916,-76.51337432861328,2749,Motion
