"Unit Time","Data Center","Voltage","Latitude","Longitude","Raw Event","Event Name","Heading","Sequence #","GPS Speed","Address","Unit Type","Raw Data"
"2026/03/18 15:17:03 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050065000108694870627247102603182017031c4c006100530065006c0065004e006f0073004c006c0061006d006100054341542d31074341542d3120370f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/18 15:17:02 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/18 09:15:00 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/18 09:15:00 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050065000108694870627247102603181415001c4c006100530065006c0065004e006f0073004c006c0061006d006100054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/18 09:14:44 -05","AWS",,0,0,"04-22","Motion Start",0,692,"0.00",,"Topfly","272704004902b40869487062724710001626031814144482dc00650040fec86984007a000000000018008090701bff3800000a135b0304003c000054600000000010f280000000ffd5"
"2026/03/18 08:01:48 -05","AWS",,0,0,"04-22","Motion Start",0,690,"0.00",,"Topfly","272704004902b20869487062724710001626031813014882dc006509569033699a01a2013b013b0020018090691cff3800000a135b0304003c000054600000000010f280000000ffd5"
"2026/03/18 07:11:25 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/18 07:11:25 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050065000108694870627247102603181211251c4c006100530065006c0065004e006f0073004c006c0061006d006100054341542d31074341542d3120370f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/18 01:11:28 -05","AWS",,0,0,"02-M","Motion",0,4827,"0.00",,"Topfly","272702004912db0869487062724710000026031806112882dc00650040fec86984007a009800980010018090691cff3800000a135b0294003c000054600000000010f280000000ffd5"
"2026/03/18 01:10:24 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050065000108694870627247102603180610241c4c006100530065006c0065004e006f0073004c006c0061006d006100054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/18 01:10:23 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/18 01:10:08 -05","AWS",,0,0,"04-22","Motion Start",0,688,"0.00",,"Topfly","272704004902b00869487062724710801626031806100882dc00650040fec86984007a009800980020058080691cff3800000a135b02c4003c000054600000000010f280000000ffd5"
"2026/03/17 20:29:54 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/17 20:29:54 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603180129540a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/17 20:29:38 -05","AWS",,0,0,"04-22","Motion Start",0,684,"0.00",,"Topfly","272704004902ac0869487062724710001626031801293882dc0065095665c969840099000000008010078050691bff3800000a135b02c4003c000054600000000010f280000000ffd5"
"2026/03/17 18:30:46 -05","AWS",,0,0,"02-M","Motion",0,4730,"0.00",,"Topfly","2727020049127a0869487062724710000026031723304682dc006509569932698100e1012301b280100980107019ff38000009c3c40444003c000054600000000010f280000000ffd5"
"2026/03/17 18:29:46 -05","AWS",,0,0,"02-M","Motion",0,4729,"0.00",,"Topfly","272702004912790869487062724710000026031723294682dc006509569932698100e10123012400300780407019ff38000009c3c403a4003c000054600000000010f280000000ffd5"
"2026/03/17 18:19:46 -05","AWS",,0,0,"02-M","Motion",0,4719,"0.00",,"Topfly","2727020049126f0869487062724710000026031723194682dc0065095699006981012300e1012400000880307019ff38000009c3c40644003c000054600000000010f280000000ffd5"
"2026/03/17 18:18:42 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050054000108694870627247102603172318420a43004c00410052004f00054341542d31084341542d312032380f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/17 18:18:26 -05","AWS",,0,0,"04-22","Motion Start",0,682,"0.00",,"Topfly","272704004902aa0869487062724710001626031723182682dc0065095699006981012301b2000000300880307019ff38000009c3c40644003c000054600000000010f280000000ffd5"
"2026/03/17 17:36:16 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603172236160a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/17 17:36:02 -05","AWS",,0,0,"04-22","Motion Start",0,680,"0.00",,"Topfly","272704004902a80869487062724710801626031722360282dc006509569932698100e10124018c00000880307019ff38000009c3c40644003c000054600000000010f280000000ffd2"
"2026/03/17 17:29:56 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050054000108694870627247102603172229560a43004c00410052004f00054341542d31084341542d312032380f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/17 17:29:37 -05","AWS",,0,0,"04-22","Motion Start",0,678,"0.00",,"Topfly","272704004902a60869487062724710001626031722293782dc0065095699006981012301b2018c00000880307019ff38000009c3c40644003c000054600000000010f280000000ffd5"
"2026/03/17 17:18:39 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603172218390a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/17 17:18:23 -05","AWS",,0,0,"04-22","Motion Start",0,676,"0.00",,"Topfly","272704004902a40869487062724710801626031722182382dc006509569932698100e10124018c00000980307018ff38000009c3af0644003c000054600000000010f280000000ffd2"
"2026/03/17 17:13:48 -05","AWS",,0,0,"02-M","Motion",0,4677,"0.00",,"Topfly","272702004912450869487062724710000026031722134882dc0065095d70c86981012400e1012300000980307018ff38000009c3af0604003c000054600000000010f280000000ffd5"
"2026/03/17 17:12:49 -05","AWS",,0,0,"02-M","Motion",0,4676,"0.00",,"Topfly","272702004912440869487062724710000026031722124982dc0065095d70c869810124012300e100000880307018ff38000009c3af0604003c000054600000000010f280000000ffd5"
"2026/03/17 17:11:50 -05","AWS",,0,0,"02-M","Motion",0,4675,"0.00",,"Topfly","272702004912430869487062724710000026031722115082dc0065095699646981018c012300e100000980307118ff38000009c3af04f4003c000054600000000010f280000000ffd5"
"2026/03/17 17:10:30 -05","AWS",,0,0,"04-22","Motion Start",0,674,"0.00",,"Topfly","272704004902a20869487062724710001626031722103082dc006509569900698101230124018c00000880307118ff38000009c3af0644003c000054600000000010f280000000ffd5"
"2026/03/17 16:43:28 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603172143280a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/17 16:43:12 -05","AWS",,0,0,"04-22","Motion Start",0,672,"0.00",,"Topfly","272704004902a00869487062724710801626031721431282dc006509569932698100e10124018c00000980307019ff38000009c3af0644003c000054600000000010f280000000ffd2"
"2026/03/17 16:37:27 -05","AWS",,0,0,"02-M","Motion",0,4666,"0.00",,"Topfly","2727020049123a0869487062724710000026031721372782dc0065095d70c86981012400e1018c00000980207018ff38000009c3af0604003c000054600000000010f280000000ffd5"
"2026/03/17 16:36:27 -05","AWS",,0,0,"02-M","Motion",0,4665,"0.00",,"Topfly","272702004912390869487062724710000026031721362782dc006509569932698100e10123012400000980207118ff38000009c3af0644003c000054600000000010f280000000ffd5"
"2026/03/17 16:35:26 -05","AWS",,0,0,"02-M","Motion",0,4664,"0.00",,"Topfly","272702004912380869487062724710000026031721352682dc0065095d70c86981012400e1012300000980207018ff38000009c3af0604003c000054600000000010f280000000ffd5"
"2026/03/17 16:34:27 -05","AWS",,0,0,"02-M","Motion",0,4663,"0.00",,"Topfly","272702004912370869487062724710000026031721342782dc0065095d70c869810124012300e100000980207118ff38000009c3af0604003c000054600000000010f280000000ffd5"
"2026/03/17 16:33:27 -05","AWS",,0,0,"02-M","Motion",0,4662,"0.00",,"Topfly","272702004912360869487062724710000026031721332782dc0065095d70c869810124018c018e00000980207018ff38000009c3af0644003c000054600000000010f280000000ffd5"
