,Row Id,Sequence #,Account Id,Server Time,Unit Time,Latitude,Longitude,Driver Name,Event Name,Raw Event,GPS Speed,ECU Speed,Address,Landmark ID,Satellites,Distance,HDOP,VDOP,RSSI,Engine Hours,Engine Hours + Off,ECU Engine Hours,ECU Engine Hours + Off,Engine Odometer,Engine Odometer + Off,ECU Engine Odometer,ECU Engine Odometer + Off,Battery Level,Raw Data
3,1772114702000,1066,26305,2026/02/26 09:05:03,2026/02/26 09:05:02,3.465132474899292,-76.52576446533203,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,7,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049042a086948706272471047002602261405021fe57f44310d99c2bbc45d40000001100008008090001aff41000001efdd0644001e000004b00000000010f280000000ffd5
4,1772114673000,1065,26305,2026/02/26 09:04:33,2026/02/26 09:04:33,3.465132474899292,-76.52576446533203,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,9,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,27270200490429086948706272471049002602261404331fe57f44310d99c2bbc45d400000011000080080900019ff41000001efdd05d4001e000004b00000000010f280000000ffd5
5,1772114643000,1064,26305,2026/02/26 09:04:03,2026/02/26 09:04:03,3.465132474899292,-76.52576446533203,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049042808694870627247104a002602261404031fe57f44310d99c2bbc45d400000011000080080900019ff41000001efdd0644001e000004b00000000010f280000000ffd5
6,1772114613000,1063,26305,2026/02/26 09:03:33,2026/02/26 09:03:33,3.465132474899292,-76.52576446533203,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049042708694870627247104c002602261403331fe57f44310d99c2bbc45d400000011000100200900019ff41000001efdd0644001e000004b00000000010f280000000ffd5
7,1772114583000,1062,26305,2026/02/26 09:03:03,2026/02/26 09:03:03,3.465132474899292,-76.52576446533203,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,17,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,27270200490426086948706272471051002602261403031fe57f44310d99c2bbc45d400000011000100200900019ff41000001efdd0644001e000004b00000000010f280000000ffd5
9,1772114330000,1061,26305,2026/02/26 08:58:52,2026/02/26 08:58:50,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049042508694870627247104c0026022613585000a87c44700d99c242c85d400000014b0010030090001aff41000001efa30644001e000004b00000000010f280000000ffd5
10,1772114300000,1060,26305,2026/02/26 08:58:22,2026/02/26 08:58:20,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049042408694870627247104c0026022613582000a87c44700d99c242c85d400000014b0010040080001aff41000001efa30604001e000004b00000000010f280000000ffd5
11,1772114270000,1059,26305,2026/02/26 08:57:52,2026/02/26 08:57:50,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049042308694870627247104d0026022613575000a87c44700d99c242c85d400000014b0010040090001aff41000001efa30604001e000004b00000000010f280000000ffd5
12,1772114240000,1058,26305,2026/02/26 08:57:23,2026/02/26 08:57:20,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,11,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049042208694870627247104b0026022613572000a87c44700d99c242c85d400000014b0010030080001aff41000001efa305d4001e000004b00000000010f280000000ffd5
13,1772114209000,1057,26305,2026/02/26 08:56:52,2026/02/26 08:56:49,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049042108694870627247104c0026022613564900a87c44700d99c242c85d400000014b0010030090001aff41000001efa30644001e000004b00000000010f280000000ffd5
