,Date,Raw data,Speed,odometer
0,0x252513,0x252513005995A50869487064492787003C38402D000000374500000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D4E0902607250516550090C044F63397C253F9C7400120009C03871261FFFFFF00001F0005FFFFFF,12,12702944.0
1,0x252513,0x252513005995A60869487064492787003C38402D000000374500000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D4FB9026072505170166C6BF440E3497C2A3FAC7400130015303871254FFFFFF00001F0005FFFFFF,13,12702971.0
2,0x252513,0x252513005995A70869487064492787003C38402D0000003A4500000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D517902607250517126616BF441B3497C27EFCC740029000AA03871259FFFFFF0000210005FFFFFF,29,12702999.0
3,0x252513,0x252513005995A80869487064492787003C38402D000000374500000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D56E9026072505173600D0BC44073497C230F6C7400160015C03871262FFFFFF0000200005FFFFFF,16,12703086.0
4,0x252513,0x252513005995A90869487064492787003C38402D000000374500000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D5749026072505173733E3BC44053497C299F6C7400280002C03871259FFFFFF0000200005FFFFFF,28,12703092.0
5,0x252513,0x252513005995AA0869487064492787003C38402D000000374500000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D580902607250517416676BC440C3497C2C9F5C740033000DB03871252FFFFFF0000200005FFFFFF,33,12703104.0
6,0x252513,0x252513005995AB0869487064492787003C38402D0000003A4500000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D608902607250517510000BC44D33397C26CECC7401250009903871261FFFFFF0000210005FFFFFF,125,12703240.0
7,0x252513,0x252513005995AC0869487064492787003C38402D000000444400000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D681902607250518196696B844E03397C292EBC7400180013003871262FFFFFF0000200013FFFFFF,18,12703361.0
8,0x252513,0x252513005995AD0869487064492787003C38402D000000414400000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D6B0902607250518339A39B744F93397C26CEEC7400180008B03871260FFFFFF0000210012FFFFFF,18,12703408.0
9,0x252513,0x252513005995AE0869487064492787003C38402D0000003A4500000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D6CA90260725051846CD1CB744FC3397C27FEEC7400100012603871262FFFFFF0000200010FFFFFF,10,12703434.0
10,0x252513,0x252513005995AF0869487064492787003C38402D0000003A4500000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D6DD9026072505191600D0B644FD3397C2E1EFC7400130008E03871260FFFFFF0000200009FFFFFF,13,12703453.0
11,0x252513,0x252513005995B00869487064492787003C38402D0000003A4500000007000020000000FFFFFFFFFFFFFFFFFFFF00D500C1D6EB9026072505192100E0B6440D3497C211F0C7400180012103871252FFFFFF0000200009FFFFFF,18,12703467.0
