,Date,Raw data,Speed,odometer
0,0x252513,0x25251300598EDA0869487064334989001EFFFF2D000000444700000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A25A30026070119214400C0C244DC3397C239FAC7400240015303951311FFFFFF0000250003FFFFFF,24,3810723.0
1,0x252513,0x25251300598EDB0869487064334989001EFFFF2D0000003A4A00000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A25CB002607011922166636C344E73397C2A9FBC740011000AF03951312FFFFFF0000230001FFFFFF,11,3810763.0
2,0x252513,0x25251300598EDC0869487064334989001EFFFF2D0000003E4A00000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A25D70026070119224500C0C344DF3397C254FBC7400140015B03951311FFFFFF0000230001FFFFFF,14,3810775.0
3,0x252513,0x25251300598EDD0869487064334989001EFFFF2D0000003E4900000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A25F90026070119231833A3C444E23397C221FBC7400110009B03951311FFFFFF0000230001FFFFFF,11,3810809.0
4,0x252513,0x25251300598EDE0869487064334989001EFFFF2D0000003E4B00000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A262E002607011923390090C444DA3397C204FAC7400270014C03951311FFFFFF0000230000FFFFFF,27,3810862.0
5,0x252513,0x25251300598EDF0869487064334989001EFFFF2D000000374700000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A26E700260701200001CD0CBF44E13397C2CFF9C740015000A003951306FFFFFF0000210002FFFFFF,15,3811047.0
6,0x252513,0x25251300598EE00869487064334989001EFFFF2D000000484600000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A26EB0026070120001300C0BE44DF3397C21EFAC7400160015A03951306FFFFFF0000220002FFFFFF,16,3811051.0
7,0x252513,0x25251300598EE10869487064334989001EFFFF2D000000484600000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A26F400260701200017CDECBE44E03397C23AFAC740017000AA03951305FFFFFF0000220002FFFFFF,17,3811060.0
8,0x252513,0x25251300598EE20869487064334989001EFFFF2D000000484600000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A26FA002607012000213363BF44DF3397C2A0FAC7400250015A03951304FFFFFF0000230002FFFFFF,25,3811066.0
9,0x252513,0x25251300598EE30869487064334989001EFFFF2D000000444500000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A27E200260701200033CDBCBD44B03397C208EFC740177000A703951306FFFFFF0000210003FFFFFF,177,3811298.0
10,0x252513,0x25251300598EE40869487064334989001EFFFF2D000000444600000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A2A7700260701200243CD8CBC44C43397C213F7C7400210015D03951306FFFFFF0000210002FFFFFF,21,3811959.0
11,0x252513,0x25251300598EE50869487064334989001EFFFF2D000000444700000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003A2AA9002607012003079A49BB44C33397C25DF7C740019000A903951306FFFFFF0000210002FFFFFF,19,3812009.0
