,Date,Raw data,Speed,odometer
0,0x252513,0x252513005943B90869487064432114001EFFFF2D000000304800000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322DBF982607200103436606C344FE3397C2BEF9C740009000E503891282FFFFFF00001D0001FFFFFF,9,3288511.0
1,0x252513,0x252513005943BA0869487064432114001EFFFF2D0000003A4600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322E1099260720010440CD5CC544443497C2A5F7C7400280003A03891281FFFFFF00001C0008FFFFFF,28,3288592.0
2,0x252513,0x252513005943BB0869487064432114001EFFFF2D0000003A4600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322E15992607200104419A79C544493497C2A0F7C740006000F303891279FFFFFF00001C0008FFFFFF,6,3288597.0
3,0x252513,0x252513005943BC0869487064432114001EFFFF2D0000003A4600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322E2B992607200104469A89C5444C3497C234F7C7400190003C03891275FFFFFF00001E0008FFFFFF,19,3288619.0
4,0x252513,0x252513005943BD0869487064432114001EFFFF2D0000003A4600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322E6799260720010458CD6CC544313497C249F8C740022000EE03891280FFFFFF00001E0008FFFFFF,22,3288679.0
5,0x252513,0x252513005943BE0869487064432114001EFFFF2D000000374600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322E8C9926072001050666C6C544333497C213F8C7400210003703891280FFFFFF00001E0008FFFFFF,21,3288716.0
6,0x252513,0x252513005943BF0869487064432114001EFFFF2D000000374600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322E97992607200105079A39C6443F3497C2C5F7C740019000F203891279FFFFFF00001E0008FFFFFF,19,3288727.0
7,0x252513,0x252513005943C00869487064432114001EFFFF2D000000374600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322E9E99260720010513CD8CC644423497C251F7C7400240003403891275FFFFFF00001E0009FFFFFF,24,3288734.0
8,0x252513,0x252513005943C10869487064432114001EFFFF2D000000374600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322EA79826072001051466A6C6444C3497C201F7C740025000F303891277FFFFFF00001E0009FFFFFF,25,3288743.0
9,0x252513,0x252513005943C20869487064432114001EFFFF2D000000334600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322EC9982607200105176626C644483497C2FDF6C7400260004503891275FFFFFF00001E0009FFFFFF,26,3288777.0
10,0x252513,0x252513005943C30869487064432114001EFFFF2D000000334600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322ED4982607200105276646C6443E3497C27DF7C740006000E103891275FFFFFF00001E0009FFFFFF,6,3288788.0
11,0x252513,0x252513005943C40869487064432114001EFFFF2D000000374600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322F0B982607200105389AA9C6446B3497C2A4F5C7400180004003891280FFFFFF00001E0009FFFFFF,18,3288843.0
12,0x252513,0x252513005943C50869487064432114001EFFFF2D000000374600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322F42982607200105430000C744483497C282F7C740026000F103891277FFFFFF00001E0009FFFFFF,26,3288898.0
13,0x252513,0x252513005943C60869487064432114001EFFFF2D000000304600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322F85982607200105483323C7443B3497C209F8C7400180003103891277FFFFFF00001F0009FFFFFF,18,3288965.0
14,0x252513,0x252513005943C70869487064432114001EFFFF2D000000304600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322FAB982607200105509A49C744613497C287F6C740088000EC03891277FFFFFF00001F0009FFFFFF,88,3289003.0
15,0x252513,0x252513005943C80869487064432114001EFFFF2D000000304600000007000020000000FFFFFFFFFFFFFFFFFFFF00D500322FD4982607200105543313C7444C3497C234F7C7400580003903891277FFFFFF00001F0009FFFFFF,58,3289044.0
16,0x252513,0x252513005943C90869487064432114001EFFFF2D0000003A4700000007000020000000FFFFFFFFFFFFFFFFFFFF00D500323090982607200106143343C644B63397C201FDC740016000F203891281FFFFFF00001D0001FFFFFF,16,3289232.0
17,0x252513,0x252513005943CA0869487064432114001EFFFF2D000000374700000007000020000000FFFFFFFFFFFFFFFFFFFF00D5003230C7982607200106200050C544D83397C237FBC7400160004003891276FFFFFF00001E0003FFFFFF,16,3289287.0
