,Odometer in meters,Odometer en miles
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,1,0.000621371
19,1,0.000621371
20,1,0.000621371
21,1,0.000621371
22,1,0.000621371
23,1,0.000621371
24,1,0.000621371
25,1,0.000621371
26,2,0.001242742
27,2,0.001242742
28,2,0.001242742
29,2,0.001242742
30,2,0.001242742
31,2,0.001242742
32,2,0.001242742
33,2,0.001242742
34,2,0.001242742
35,2,0.001242742
36,2,0.001242742
37,2,0.001242742
38,2,0.001242742
39,2,0.001242742
40,2,0.001242742
41,2,0.001242742
42,2,0.001242742
43,33,0.020505243
44,52,0.032311292
45,52,0.032311292
46,52,0.032311292
47,73,0.045360083
48,153,0.095069763
49,237,0.147264927
50,985,0.612050435
51,1235,0.767393185
52,1375,0.854385125
53,1578,0.980523438
54,1745,1.084292395
55,1855,1.152643205
56,2754,1.711255734
57,2754,1.711255734
58,3518,2.185983178
59,3583,2.226372293
60,3596,2.234450116
61,3890,2.41713319
62,3903,2.425211013
63,3903,2.425211013
64,3903,2.425211013
65,3908,2.428317868
66,4027,2.502261017
67,4226,2.625913846
68,4232,2.629642072
69,4975,3.091320725
70,5797,3.602087687
71,5993,3.7238764030000002
72,6108,3.7953340680000003
73,6152,3.822674392
74,6311,3.921472381
75,6311,3.921472381
76,8246,5.123825266
77,9720,6.03972612
78,10204,6.340469684
79,10227,6.354761217
80,10227,6.354761217
81,10258,6.374023718
82,10258,6.374023718
83,10258,6.374023718
84,10258,6.374023718
85,10289,6.393286219
86,10546,6.552978566
87,10546,6.552978566
88,10671,6.630649941
89,10671,6.630649941
90,10671,6.630649941
91,10671,6.630649941
92,10671,6.630649941
93,10703,6.650533813
94,10713,6.656747523
95,10713,6.656747523
96,10713,6.656747523
97,10731,6.667932201
98,10731,6.667932201
99,10865,6.751195915
100,10865,6.751195915
101,10865,6.751195915
102,10865,6.751195915
103,10895,6.769837045
104,10908,6.777914868
105,10908,6.777914868
106,10908,6.777914868
107,10908,6.777914868
108,10908,6.777914868
109,10953,6.805876563
